mode,k,category,gt_count,retrieved_count,tp,fp,recall,precision
baseline,1,naming_convention,17,16,7,9,0.4117647058823529,0.4375
baseline,1,unused_import,21,0,0,0,0.0,0.0
baseline,1,indentation,5,17,5,12,1.0,0.29411764705882354
baseline,1,mutable_default,10,0,0,0,0.0,0.0
baseline,1,documentation_formatting,5,0,0,0,0.0,0.0
baseline,3,naming_convention,17,23,10,13,0.5882352941176471,0.43478260869565216
baseline,3,unused_import,21,7,5,2,0.23809523809523808,0.7142857142857143
baseline,3,indentation,5,24,5,19,1.0,0.20833333333333334
baseline,3,mutable_default,10,0,0,0,0.0,0.0
baseline,3,documentation_formatting,5,15,1,14,0.2,0.06666666666666667
baseline,5,naming_convention,17,33,17,16,1.0,0.5151515151515151
baseline,5,unused_import,21,7,5,2,0.23809523809523808,0.7142857142857143
baseline,5,indentation,5,33,5,28,1.0,0.15151515151515152
baseline,5,mutable_default,10,0,0,0,0.0,0.0
baseline,5,documentation_formatting,5,33,5,28,1.0,0.15151515151515152
baseline,7,naming_convention,17,33,17,16,1.0,0.5151515151515151
baseline,7,unused_import,21,11,7,4,0.3333333333333333,0.6363636363636364
baseline,7,indentation,5,33,5,28,1.0,0.15151515151515152
baseline,7,mutable_default,10,0,0,0,0.0,0.0
baseline,7,documentation_formatting,5,33,5,28,1.0,0.15151515151515152
reranked,1,naming_convention,17,16,7,9,0.4117647058823529,0.4375
reranked,1,unused_import,21,0,0,0,0.0,0.0
reranked,1,indentation,5,17,5,12,1.0,0.29411764705882354
reranked,1,mutable_default,10,0,0,0,0.0,0.0
reranked,1,documentation_formatting,5,0,0,0,0.0,0.0
reranked,3,naming_convention,17,20,10,10,0.5882352941176471,0.5
reranked,3,unused_import,21,7,5,2,0.23809523809523808,0.7142857142857143
reranked,3,indentation,5,24,5,19,1.0,0.20833333333333334
reranked,3,mutable_default,10,0,0,0,0.0,0.0
reranked,3,documentation_formatting,5,15,1,14,0.2,0.06666666666666667
reranked,5,naming_convention,17,33,17,16,1.0,0.5151515151515151
reranked,5,unused_import,21,20,13,7,0.6190476190476191,0.65
reranked,5,indentation,5,33,5,28,1.0,0.15151515151515152
reranked,5,mutable_default,10,0,0,0,0.0,0.0
reranked,5,documentation_formatting,5,33,5,28,1.0,0.15151515151515152
reranked,7,naming_convention,17,33,17,16,1.0,0.5151515151515151
reranked,7,unused_import,21,33,21,12,1.0,0.6363636363636364
reranked,7,indentation,5,33,5,28,1.0,0.15151515151515152
reranked,7,mutable_default,10,0,0,0,0.0,0.0
reranked,7,documentation_formatting,5,33,5,28,1.0,0.15151515151515152
