k,category,gt_count,retrieved_count,tp,fp,recall,precision
1,naming_convention,17,20,9,11,0.5294117647058824,0.45
1,unused_import,21,5,5,0,0.23809523809523808,1.0
1,indentation,5,3,1,2,0.2,0.3333333333333333
1,mutable_default,10,0,0,0,0.0,
1,documentation_formatting,5,5,0,5,0.0,0.0
3,naming_convention,17,27,13,14,0.7647058823529411,0.48148148148148145
3,unused_import,21,25,17,8,0.8095238095238095,0.68
3,indentation,5,9,2,7,0.4,0.2222222222222222
3,mutable_default,10,0,0,0,0.0,
3,documentation_formatting,5,6,0,6,0.0,0.0
5,naming_convention,17,28,14,14,0.8235294117647058,0.5
5,unused_import,21,30,20,10,0.9523809523809523,0.6666666666666666
5,indentation,5,21,5,16,1.0,0.23809523809523808
5,mutable_default,10,0,0,0,0.0,
5,documentation_formatting,5,10,1,9,0.2,0.1
7,naming_convention,17,28,14,14,0.8235294117647058,0.5
7,unused_import,21,31,21,10,1.0,0.6774193548387096
7,indentation,5,23,5,18,1.0,0.21739130434782608
7,mutable_default,10,0,0,0,0.0,
7,documentation_formatting,5,22,4,18,0.8,0.18181818181818182
