k,category,category_recall_contribution
1,documentation_formatting,0.0
1,indentation,0.0
1,mutable_default,0.0
1,naming_convention,0.0
1,unused_import,0.3333333333333333
3,documentation_formatting,0.0
3,indentation,1.0
3,mutable_default,0.0
3,naming_convention,0.0
3,unused_import,0.3333333333333333
5,documentation_formatting,1.0
5,indentation,1.0
5,mutable_default,0.0
5,naming_convention,0.0
5,unused_import,0.3333333333333333
7,documentation_formatting,1.0
7,indentation,1.0
7,mutable_default,1.0
7,naming_convention,0.0
7,unused_import,0.3333333333333333
