k,category,category_recall_contribution
1,documentation_formatting,0.0
1,indentation,0.0
1,mutable_default,0.0
1,naming_convention,0.6666666666666666
1,unused_import,0.16666666666666666
3,documentation_formatting,0.0
3,indentation,0.0
3,mutable_default,0.0
3,naming_convention,1.0
3,unused_import,0.6666666666666666
5,documentation_formatting,0.5
5,indentation,1.0
5,mutable_default,0.0
5,naming_convention,1.0
5,unused_import,1.0
7,documentation_formatting,1.0
7,indentation,1.0
7,mutable_default,0.0
7,naming_convention,1.0
7,unused_import,1.0
